[2015-10-23 | 10:55:05] STARTLOG -- GRAPHICS MANAGER CONSTRUCTED -- STARTLOG
[2015-10-23 | 10:56:09] FRAMERATECONTROLLER:: Abnormally high frame time 34
[2015-10-23 | 10:56:44] FRAMERATECONTROLLER:: Abnormally high frame time 39
[2015-10-23 | 10:56:47] FRAMERATECONTROLLER:: Abnormally high frame time 34
[2015-10-23 | 10:57:00] FRAMERATECONTROLLER:: Abnormally high frame time 39
[2015-10-23 | 10:57:03] FRAMERATECONTROLLER:: Abnormally high frame time 112
[2015-10-23 | 10:59:07] STARTLOG -- GRAPHICS MANAGER CONSTRUCTED -- STARTLOG
[2015-10-23 | 11:00:33] FRAMERATECONTROLLER:: Abnormally high frame time 34
[2015-10-23 | 11:00:38] FRAMERATECONTROLLER:: Abnormally high frame time 127
[2015-10-23 | 11:07:13] STARTLOG -- GRAPHICS MANAGER CONSTRUCTED -- STARTLOG
[2015-10-23 | 11:09:08] STARTLOG -- GRAPHICS MANAGER CONSTRUCTED -- STARTLOG
[2015-10-23 | 11:26:01] STARTLOG -- GRAPHICS MANAGER CONSTRUCTED -- STARTLOG
[2015-10-23 | 11:26:29] STARTLOG -- GRAPHICS MANAGER CONSTRUCTED -- STARTLOG
[2015-10-23 | 11:27:54] STARTLOG -- GRAPHICS MANAGER CONSTRUCTED -- STARTLOG
[2015-10-23 | 11:28:33] STARTLOG -- GRAPHICS MANAGER CONSTRUCTED -- STARTLOG
[2015-10-23 | 11:31:07] STARTLOG -- GRAPHICS MANAGER CONSTRUCTED -- STARTLOG
[2015-10-23 | 11:34:15] STARTLOG -- GRAPHICS MANAGER CONSTRUCTED -- STARTLOG
[2015-10-23 | 11:35:14] STARTLOG -- GRAPHICS MANAGER CONSTRUCTED -- STARTLOG
[2015-10-23 | 11:35:42] STARTLOG -- GRAPHICS MANAGER CONSTRUCTED -- STARTLOG
[2015-10-23 | 11:40:14] STARTLOG -- GRAPHICS MANAGER CONSTRUCTED -- STARTLOG
[2015-10-23 | 11:45:50] STARTLOG -- GRAPHICS MANAGER CONSTRUCTED -- STARTLOG
[2015-10-23 | 11:47:01] STARTLOG -- GRAPHICS MANAGER CONSTRUCTED -- STARTLOG
[2015-10-23 | 11:47:24] STARTLOG -- GRAPHICS MANAGER CONSTRUCTED -- STARTLOG
[2015-10-23 | 11:48:38] STARTLOG -- GRAPHICS MANAGER CONSTRUCTED -- STARTLOG
[2015-10-23 | 11:49:04] STARTLOG -- GRAPHICS MANAGER CONSTRUCTED -- STARTLOG
[2015-10-23 | 11:54:15] STARTLOG -- GRAPHICS MANAGER CONSTRUCTED -- STARTLOG
[2015-10-23 | 11:55:41] FRAMERATECONTROLLER:: Abnormally high frame time 34
[2015-10-23 | 11:55:52] FRAMERATECONTROLLER:: Abnormally high frame time 34
[2015-10-23 | 11:56:00] FRAMERATECONTROLLER:: Abnormally high frame time 35
[2015-10-23 | 11:56:00] FRAMERATECONTROLLER:: Abnormally high frame time 37
[2015-10-23 | 11:56:04] FRAMERATECONTROLLER:: Abnormally high frame time 39
[2015-10-23 | 11:56:12] FRAMERATECONTROLLER:: Abnormally high frame time 37
[2015-10-23 | 11:56:27] FRAMERATECONTROLLER:: Abnormally high frame time 101
